member_code,member_desc
N9603,Funeral and related activities
N8121,General cleaning of buildings
N86231,General dental practices
N86102,General hospitals
N8621,General medical practice activities
N8411,General public administration activities
N8531,General secondary education
N0111,"Growing of cereals (except rice), leguminous crops and oil s"
N0119,Growing of other non-perennial crops
N0113,"Growing of vegetables and melons, roots and tubers"
N9602,Hairdressing and other beauty treatment
N854,Higher education
N552,Holiday and other short-stay accommodation
N5520,Holiday and other short-stay accommodation
N8610,Hospital activities
N551,Hotels and similar accommodation
N5510,Hotels and similar accommodation
N86,Human health activities
N5040,Inland freight water transport
N5030,Inland passenger water transport
N3320,Installation of industrial machinery and equipment
N4332,Joinery installation
N8423,Justice and judicial activities
N8130,Landscape service activities
N2443,"Lead, zinc and tin production"
N7740,"Leasing of intellectual property and similar products, excep"
N6910,Legal activities
N910,"Libraries, archives, museums and other cultural activities"
N9101,Library and archives activities
N2562,Machining
N4520,Maintenance and repair of motor vehicles
N702,Management consultancy activities
N68321,Management of apartments
N6832,Management of real estate on a fee or contract basis
N2830,Manufacture of agricultural and forestry machinery
N3030,Manufacture of air and spacecraft and related machinery
N142,Manufacture of articles of fur
N201,"Manufacture of basic chemicals, fertilisers, plastics, synth"
N2110,Manufacture of basic pharmaceutical products
N2720,Manufacture of batteries and accumulators
N2815,"Manufacture of bearings, gears, gearing and driving elements"
N1105,Manufacture of beer
N110,Manufacture of beverages
N2920,Manufacture of bodies (coachwork) for motor vehicles: traile
N1071,Manufacture of bread: manufacture of fresh pastry goods and
N2223,Manufacture of builders' ware of plastic
N1082,"Manufacture of cocoa, chocolate and sugar confectionery"
N2630,Manufacture of communication equipment
N2361,Manufacture of concrete products for construction purposes
N1084,Manufacture of condiments and seasonings
N275,Manufacture of domestic appliances
N2012,Manufacture of dyes and pigments
N2751,Manufacture of electric domestic appliances
N2712,Manufacture of electricity distribution and control apparatu
N2611,Manufacture of electronic components
N2053,Manufacture of essential oils
N2015,Manufacture of fertilisers and nitrogen compounds
N1032,Manufacture of fruit and vegetable juice
N3521,Manufacture of gas
N1061,Manufacture of grain mill products
N1086,Manufacture of homogenised food preparations and dietetic fo
N1722,Manufacture of household and sanitary goods and of toilet re
N2011,Manufacture of industrial gases
N2651,"Manufacture of instruments and appliances for measuring, tes"
N2660,"Manufacture of irradiation, electromedical and electrotherap"
N3102,Manufacture of kitchen furniture
N143,Manufacture of knitted and crocheted apparel
N2612,Manufacture of loaded electronic boards
N28,Manufacture of machinery and equipment n.e.c.
N2893,"Manufacture of machinery for food, beverage and tobacco proc"
N2892,"Manufacture of machinery for mining, quarrying and construct"
N1392,"Manufacture of made-up textile articles, except apparel"
N2060,Manufacture of man-made fibres
N1042,Manufacture of margarine and similar edible fats
N3250,Manufacture of medical and dental instruments and supplies
N2511,Manufacture of metal structures and parts of structures
N2910,Manufacture of motor vehicles
N322,Manufacture of musical instruments
N2825,Manufacture of non-domestic cooling and ventilation equipmen
N3101,Manufacture of office and shop furniture
N2823,Manufacture of office machinery&equipment(except computers&p
N1041,Manufacture of oils and fats
N2670,Manufacture of optical instruments and photographic equipmen
N2059,Manufacture of other chemical products n.e.c.
N2790,Manufacture of other electrical equipment
N1089,Manufacture of other food products n.e.c.
N3109,Manufacture of other furniture
N2829,Manufacture of other general-purpose machinery n.e.c.
N2013,Manufacture of other inorganic basic chemicals
N2014,Manufacture of other organic basic chemicals
N1629,"Manufacture of other products of wood: articles of cork, str"
N289,Manufacture of other special-purpose machinery
N2899,Manufacture of other special-purpose machinery n.e.c.
N2814,Manufacture of other taps and valves
N1399,Manufacture of other textiles n.e.c.
N2042,Manufacture of perfumes and toilet preparations
N212,Manufacture of pharmaceutical preparations
N2120,Manufacture of pharmaceutical preparations
N2896,Manufacture of plastic and rubber machinery
N2222,Manufacture of plastic packing goods
N2221,"Manufacture of plastic plates, sheets, tubes and profiles"
N2016,Manufacture of plastics in primary forms
N109,Manufacture of prepared animal feeds
N1091,Manufacture of prepared feeds for farm animals
N1085,Manufacture of prepared meals and dishes
N1092,Manufacture of prepared pet foods
N3020,Manufacture of railway locomotives and rolling stock
N1920,Manufacture of refined petroleum products
N1072,"Manufacture of rusks, biscuits, preserved pastry goods and c"
N2041,"Manufacture of soap and detergents, cleaning and polishing p"
N1107,"Manufacture of soft drinks, mineral waters and other bottled"
N1062,Manufacture of starches and starch products
N1081,Manufacture of sugar
N1200,Manufacture of tobacco products
N2420,"Manufacture of tubes, pipes, hollow profiles and related fit"
N2652,Manufacture of watches and clocks
N141,"Manufacture of wearing apparel, except fur apparel"
N1412,Manufacture of workwear
N0321,Marine aquaculture
N0311,Marine fishing
N7320,Market research and public opinion polling
N383,Materials recovery
N7312,Media representation
N862,Medical and dental practice activities
N86104,Mental health hospitals
N089,Mining and quarrying n.e.c.
N05,Mining of coal and lignite
N0150,Mixed farming
N5912,"Motion picture, video and television programme post-producti"
N5911,"Motion picture, video and television programme production ac"
N9102,Museums activities
N_CONSUMER,N_CONSUMER
N_END_USER,N_END_USER
N4639,"Non-specialised wholesale of food, beverages and tobacco"
N4690,Non-specialised wholesale trade
N821,Office administrative and support activities
N9004,Operation of arts facilities
N1051,Operation of dairies and cheese making
N9103,Operation of historical sites and buildings and similar visi
N9311,Operation of sports facilities
N8230,Organisation of conventions and trade shows
N5590,Other accommodation
N6619,"Other activities aux. to financial services, except insuranc"
N6629,Other activities auxiliary to insurance and pension funding
N9329,Other amusement and recreation activities
N8122,Other building and industrial cleaning activities
N8299,Other business support service activities n.e.c.
N8129,Other cleaning activities
N4329,Other construction installation
N6492,Other credit granting
N855,Other education
N8559,Other education n.e.c.
N6499,"Other financial service activities, except insurance and pen"
N5629,Other food service activities
N869,Other human health activities
N8690,Other human health activities
N6399,Other information service activities n.e.c.
N6209,Other information technology and computer service activities
N3299,Other manufacturing n.e.c.
N0899,Other mining and quarrying n.e.c.
N9609,Other personal service activities n.e.c.
N5320,Other postal and courier activities
N1039,Other processing and preserving of fruit and vegetables
N749,"Other professional, scientific and technical activities n.e."
N7490,"Other professional, scientific and technical activities n.e."
N7219,Other research and experimental development on natural scien
N7990,Other reservation service and related activities
N8790,Other residential care activities
N4799,"Other retail sale not in stores, stalls or markets"
N4729,Other retail sale of food in specialised stores
N4778,Other retail sale of new goods in specialised stores
N889,Other social work activities without accommodation
N8899,Other social work activities without accommodation n.e.c.
N4399,Other specialised construction activities n.e.c.
N467,Other specialised wholesale
N9319,Other sports activities
N5229,Other transportation support activities
N8292,Packaging activities
N4334,Painting and glazing
N9001,Performing arts
N8219,"Photocopying, document preparation & other specialised offic"
N7420,Photographic activities
N9604,Physical well-being activities
N0130,Plant propagation
N4322,"Plumbing, heat and air conditioning installation"
N8541,Post-secondary non-tertiary education
N8520,Primary education
N8010,Private security activities
N102,"Processing and preserving of fish, crustaceans and molluscs"
N1020,"Processing and preserving of fish, crustaceans and molluscs"
N1011,Processing and preserving of meat
N1012,Processing and preserving of poultry meat
N3511,Production of electricity
N1013,Production of meat and poultry meat products
N842,Provision of services to the community as a whole
N5813,Publishing of newspapers
N0141,Raising of dairy cattle
N0143,Raising of horses and other equines
N0149,Raising of other animals
N0147,Raising of poultry
N0146,Raising of swine/pigs
N6831,Real estate agencies
N3832,Recovery of sorted materials
N8412,"Regulation of health care, education, cultural services, exc"
N77,Rental and leasing activities
N7711,Renting and leasing of cars and light motor vehicles
N7739,"Renting and leasing of other machinery, equipment and tangib"
N7729,Renting and leasing of other personal and household goods
N6820,Renting and operating of own or leased real estate
N3315,Repair and maintenance of ships and boats
N9521,Repair of consumer electronics
N3314,Repair of electrical equipment
N9524,Repair of furniture and home furnishings
N9522,Repair of household appliances and home and garden equipment
N3312,Repair of machinery
N72193,Research and development on health and food (not biotechnica
N72192,Research and development on technology
N7211,Research and experimental development on biotechnology
N721,Research and experimental development on natural sciences an
N7220,Research and experimental development on social sciences and
N87,Residential care activities
N872,"Residential care activities for mental retardation,mental he"
N8720,"Residential care activities for mental retardation,mental he"
N8730,Residential care activities for the elderly and disabled
N871,Residential nursing care activities
N8710,Residential nursing care activities
N561,Restaurants and mobile food service activities
N5610,Restaurants and mobile food service activities
N4711,"Retail sale in non-specialised stores with food, beverages o"
N4743,Retail sale of audio and video equipment in specialised stor
N4730,Retail sale of automotive fuel in specialised stores
N4725,Retail sale of beverages in specialised stores
N4724,"Retail sale of bread, cakes, flour/sugar confectionery in sp"
N4771,Retail sale of clothing in specialised stores
N4741,"Retail sale of computers, peripheral units and software in s"
N4775,Retail sale of cosmetic and toilet articles in specialised s
N4754,Retail sale of electrical household appliances in specialise
N4723,"Retail sale of fish, crustaceans and molluscs in specialised"
N4776,"Retail sale of flowers, plants, seeds, fertilisers, pet anim"
N4759,"Retail sale of furniture, lighting equipment and other house"
N4752,"Retail sale of hardware, paints and glass in specialised sto"
N4722,Retail sale of meat and meat products in specialised stores
N4774,Retail sale of medical and orthopaedic goods in specialised
N4763,Retail sale of music and video recordings in specialised sto
N4779,Retail sale of second-hand goods in stores
N4764,Retail sale of sporting equipment in specialised stores
N4751,Retail sale of textiles in specialised stores
N4791,Retail sale via mail order houses or via Internet
N4781,"Retail sale via stalls and markets of food, beverages and to"
N4511,Sale of cars and light motor vehicles
N4519,Sale of other motor vehicles
N4540,"Sale, maintenance and repair of motorcycles and related part"
N5020,Sea and coastal freight water transport
N5010,Sea and coastal passenger water transport
N853,Secondary education
N6612,Security and commodity contracts brokerage
N8020,Security systems service activities
N0164,Seed processing for propagation
N56102,Self Service Restaurants
N5221,Service activities incidental to land transportation
N5222,Service activities incidental to water transportation
N81,Services to buildings and landscape activities
N4312,Site preparation
N8810,Social work activities without accommodation for the elderly
N741,Specialised design activities
N7410,Specialised design activities
N8622,Specialist medical practice activities
N8551,Sports and recreation education
N0162,Support activities for animal production
N0161,Support activities for crop production
N016,Support activities to agriculture and post-harvest crop acti
N9002,Support activities to performing arts
N4932,Taxi operation
N8532,Technical and vocational secondary education
N7120,Technical testing and analysis
N7820,Temporary employment agency activities
N8542,Tertiary education
N3514,Trade of electricity
N7911,Travel agency activities
N2561,Treatment and coating of metals
N3821,Treatment and disposal of non-hazardous waste
N6430,"Trusts, funds and similar financial entities"
N86101,University hospitals
N750,Veterinary activities
N7500,Veterinary activities
N5210,Warehousing and storage
N9601,Washing and (dry-)cleaning of textile and fur products
N36,"Water collection, treatment and supply"
N3600,"Water collection, treatment and supply"
N6312,Web portals
N464621,Wholesale Labor/Medizin
N4661,"Wholesale of agricultural machinery, equipment and supplies"
N4634,Wholesale of beverages
N4675,Wholesale of chemical products
N4644,Wholesale of china and glassware and cleaning materials
N4642,Wholesale of clothing and footwear
N4633,"Wholesale of dairy products, eggs and edible oils and fats"
N4643,Wholesale of electrical household appliances
N4652,Wholesale of electronic and telecommunications equipment and
N4622,Wholesale of flowers and plants
N4631,Wholesale of fruit and vegetables
N4647,"Wholesale of furniture, carpets and lighting equipment"
N4621,"Wholesale of grain, unmanufactured tobacco, seeds and animal"
N4674,"Wholesale of hardware, plumbing and heating equipment and su"
N4624,"Wholesale of hides, skins and leather"
N4623,Wholesale of live animals
N4662,Wholesale of machine tools
N4632,Wholesale of meat and meat products
N4665,Wholesale of office furniture
N4638,"Wholesale of other food, including fish, crustaceans and mol"
N4649,Wholesale of other household goods
N4676,Wholesale of other intermediate products
N4669,Wholesale of other machinery and equipment
N466,"Wholesale of other machinery, equipment and supplies"
N4645,Wholesale of perfume and cosmetics
N4646,"Wholesale of pharmaceutical, medical and orthopedical goods"
N4671,"Wholesale of solid, liquid and gaseous fuels and related pro"
N4677,Wholesale of waste and scrap
N4648,Wholesale of watches and jewellery
N4673,"Wholesale of wood, construction materials and sanitary equip"
N4531,Wholesale trade of motor vehicle parts and accessories
N6110,Wired telecommunications activities
#,Not assigned
